name,address
뉴월드약국,"서울특별시 중랑구 겸재로49길 18, (면목동)"
수약국,"서울특별시 노원구 노해로 480, (상계동, 1층)"
명심약국,"서울특별시 강남구 개포로 207, (개포동)"
금강약국,"서울특별시 동작구 매봉로 178, B02호 (본동, 마본빌딩)"
이지약국,"서울특별시 강남구 남부순환로365길 26, 1층 104호 (도곡동)"
서초21세기약국,"서울특별시 서초구 신반포로23길 30, 1층 (잠원동, 반원상가)"
굿모닝약국,"서울특별시 금천구 독산로 366, (독산동)"
세계로약국,"서울특별시 노원구 상계로 119, (상계동)"
경희우리약국,"서울특별시 동대문구 경희대로 21, 지층, 1층, 2층 (회기동)"
온누리선약국,"서울특별시 서대문구 통일로 131, 4층 2호 (충정로2가)"
복지약국,"서울특별시 동대문구 천호대로 227, (답십리동)"
새원약국,"서울특별시 강동구 양재대로130길 11, (명일동)"
정일약국,"서울특별시 강남구 도곡로 458, 102호 (대치동, 정일빌딩)"
건강한약국,"서울특별시 금천구 남부순환로 1384, (독산동)"
글로리아약국,"서울특별시 종로구 평창문화로 75, A109호 (평창동, 글로리아타운)"
기림약국,"서울특별시 은평구 응암로22길 8, (응암동)"
화곡메디칼약국,"서울특별시 강서구 가로공원로76길 56, (화곡동)"
용산약국,"서울특별시 용산구 한강대로 92, 지층 (한강로2가, LS용산타워)"
메디칼약국,"서울특별시 마포구 월드컵로14길 5, 1층 (서교동)"
아카데미약국,"서울특별시 마포구 마포대로 52, 205호, 206호 (도화동, 고려아카데미텔 II)"
오렌지약국,"서울특별시 중랑구 망우로 473, 무궁화빌딩 1층 (망우동)"
참약국,"서울특별시 강남구 일원로 95, 지하1층 103호 (일원동, 신영프라자)"
열린약국,"서울특별시 구로구 고척로 142-1, (고척동)"
인제약국,"서울특별시 중랑구 망우로 214, 1층 (상봉동)"
길동중앙약국,"서울특별시 강동구 천호대로187길 49, 1층 (길동)"
메디칼세영약국,"서울특별시 마포구 월드컵로 159, 1층 (망원동)"
오렌지약국,"서울특별시 강북구 솔샘로 184, SK아파트주상가 115~116호(미아동) (미아동)"
메디슨약국,"서울특별시 도봉구 해등로 255, 101동 2층 222호 (쌍문동, 에벤에셀아파트)"
다온약국,"서울특별시 강남구 테헤란로 328, 401호 (역삼동, 동우빌딩)"
온누리학마을약국,"서울특별시 양천구 신정로14길 6, 103호 (신정동, 학마을상가 1단지)"
고속터미널약국,"서울특별시 서초구 신반포로 194, 서울고속버스터미널 본관동1층 쇼케이스1호 (반포동)"
메디칼바른약국,"서울특별시 구로구 공원로7길 40, 1층 (구로동, 대영빌딩)"
홈타운약국,"서울특별시 동대문구 장안벚꽃로 107, 2층 6호 (장안동, 현대홈타운제1상가동)"
화인약국,"서울특별시 강동구 양재대로 1579, 2층 (천호동, 한영빌딩)"
영등포제일약국,"서울특별시 영등포구 영중로 51-1, (영등포동6가)"
참사랑약국,"서울특별시 광진구 용마산로 23, (중곡동)"
도봉월드약국,"서울특별시 도봉구 마들로 650, (방학동)"
참바로약국,"서울특별시 강북구 한천로105길 7, 207호 (번동, 주공아파트1단지상가)"
서울약국,"서울특별시 서대문구 통일로 464, 3층 (홍제동)"
녹원약국,"서울특별시 송파구 백제고분로50길 26, 1층 (방이동)"
무지개약국,"서울특별시 광진구 뚝섬로 498-1, A,B동 1층 (자양동)"
태평양약국,"서울특별시 은평구 통일로 863, (갈현동)"
중앙프라자약국,"서울특별시 동작구 상도로 178, (상도동)"
중앙종로약국,"서울특별시 성동구 용답중앙15길 1, (용답동)"
기린약국,"서울특별시 성동구 독서당로 175, 101-2호 (옥수동, 극동그린아파트)"
애플약국,"서울특별시 강서구 양천로 684, 1층 (염창동)"
미래팜약국,"서울특별시 노원구 노해로 492, 102호, 103호 (상계동, 프린스빌딩)"
보람온누리약국,"서울특별시 중랑구 신내로21길 16, 204호 (묵동, 신내두산아파트 상가동)"
메디칼갑산약국,"서울특별시 동대문구 망우로 123, 1층 (휘경동)"
상계동문약국,"서울특별시 노원구 동일로 1352, 1층 (상계동, 형인빌딩)"
김약국,"서울특별시 영등포구  대림로22길 37, (대림동)"
송파새롬약국,"서울특별시 송파구 송파대로28길 27, (가락동, 성원상떼빌 102동 202호)"
메디칼약국,"서울특별시 관악구 은천로25길 69, 1층 (봉천동, 삼성프라자)"
천사약국,"서울특별시 동대문구 왕산로26길 13, 1층 (용두동)"
샘약국,"서울특별시 노원구 한글비석로 270, 스카이타워 1층 103호 (중계동)"
