name,address
밝은중앙약국,"서울특별시 송파구 강동대로 73, (풍납동)"
태양당약국,"서울특별시 관악구 국회단지길 10, 1층 (봉천동)"
미아약국,"서울특별시 강북구 도봉로 45, 숭인시장 1층 (미아동)"
삼성약국,"서울특별시 관악구 신원로 21, (신림동)"
오늘의약국,"서울특별시 강남구 강남대로 396, 강남역 E52-1호 (역삼동)"
아이레몬약국,"서울특별시 송파구 삼전로 84, CK빌딩(씨케이빌딩) 102호 (삼전동)"
윤약국,"서울특별시 강동구 양재대로 1365, 심포니타워 110호 (성내동)"
동삼약국,"서울특별시 중랑구 면목로 344-1, (면목동)"
일등약국,"서울특별시 양천구 목동중앙북로 21, 102호 (목동)"
다현온누리약국,"서울특별시 강남구 언주로167길 46, 1층 2호 (신사동)"
호박약국,"서울특별시 강남구 테헤란로2길 21, 1층 (역삼동)"
렉슬4층약국,"서울특별시 강남구 선릉로 225, 도곡렉슬상가 4층 405-1호 (도곡동)"
한마음약국,"서울특별시 은평구 은평터널로 196, (신사동)"
건대바른약국,"서울특별시 광진구 능동로 110, 7호선 건대입구역 지하2층 204호 (화양동)"
부원약국,"서울특별시 성동구 성덕정길 80, 부원약국 (성수동2가)"
지구약국,"서울특별시 노원구 동일로 1547, 동남빌딩 1층 102호 (상계동)"
강남셀리뉴약국,"서울특별시 강남구 도산대로 513, 양원빌딩 1층 101호 (청담동)"
새푸른약국,"서울특별시 관악구 쑥고개로 122, 1층 (봉천동)"
인제약국,"서울특별시 관악구 원신2길 17, 인제약국 (신림동)"
우일약국,"서울특별시 관악구 난곡로24길 5, (신림동)"
믿음약국,"서울특별시 관악구 봉천로 534, (봉천동)"
세란약국,"서울특별시 관악구 남부순환로161가길 26, (신림동)"
베리타스약국,"서울특별시 강남구 개포로 615, 석탑프라자 1층 112,113,114호 (개포동)"
노원연세약국,"서울특별시 노원구 노원로 412, 멜론플러스마트 내부 1층 (상계동)"
힘찬약국,"서울특별시 강서구 양천로 461, 주영빌딩 1층 102호 (가양동)"
다온약국,"서울특별시 영등포구 은행로 54, 신한드림리버오피스텔 B107호 (여의도동)"
한마음온누리약국,"서울특별시 도봉구 노해로70길 46, 주공아파트 19단지종합상가 1층 122호 (창동)"
청담엘약국,"서울특별시 강남구 학동로101길 11, 1층 105호 (청담동)"
하나약국,"서울특별시 관악구 쑥고개로 70, 1층 (봉천동)"
송파샘약국,"서울특별시 송파구 송파대로 345, 1A동 2040호 (가락동, 헬리오시티)"
종각역약국,"서울특별시 종로구 종로 55, 종각지하철역사 152-114호 (종로1가)"
송도약국,"서울특별시 강북구 도봉로 343, 야산빌딩 1층 (수유동)"
구약국,"서울특별시 관악구 관악로14길 52, (봉천동)"
공덕오케이약국,"서울특별시 마포구 백범로 136, 1층 일부호 (염리동)"
