_id,name,address
679f3bf46fdce0144bf3e78b,서초무지개약국,"서울특별시 서초구 효령로 403, 4층 410호 (서초동)"
679f3bf46fdce0144bf3e78c,행복한정약국,"서울특별시 동대문구 이문로 188, 1층 (이문동)"
679f3bf46fdce0144bf3e78d,라온온누리약국,"서울특별시 양천구 신월로 179, 1층 (신월동)"
679f3bf46fdce0144bf3e78e,라임약국,"서울특별시 용산구 백범로90길 38, 102호 (문배동, 프라임펠리스)"
679f3bf46fdce0144bf3e78f,신정튼튼약국,"서울특별시 양천구 오목로 147, 104호 (신정동, 제이클래스목동주상복합)"
679f3bf46fdce0144bf3e790,양재사랑약국,"서울특별시 서초구 남부순환로 2614, 302호 (양재동, 한솔로이젠트)"
679f3bf46fdce0144bf3e791,명동스타약국,"서울특별시 중구 남대문로 84, 7층 (남대문로2가)"
679f3bf46fdce0144bf3e792,보룡약국,"서울특별시 노원구 동일로 1380, 상계동 국민은행 (상계동)"
679f3bf46fdce0144bf3e793,온누리대광약국,"서울특별시 영등포구 도림로38길 4, (대림동)"
679f3bf46fdce0144bf3e794,해든약국,"서울특별시 송파구 백제고분로48길 38, 101호 (방이동, 은석빌딩)"
679f3bf46fdce0144bf3e795,성일약국,"서울특별시 강남구 압구정로 160, 제성빌딩 3층 301호 (신사동)"
679f3bf46fdce0144bf3e796,도곡약국,"서울특별시 강남구 논현로28길 2, 1층 (도곡동)"
679f3bf46fdce0144bf3e797,가람약국,"서울특별시 구로구 경인로40길 12, GB빌딩 1층 (개봉동)"
679f3bf46fdce0144bf3e798,나무약국,"서울특별시 강남구 학동로 102, 논현역 지하층 208호 (논현동)"
679f3bf46fdce0144bf3e799,다온약국,"서울특별시 도봉구 도당로 6, 1층 105호 (쌍문동, 쌍문동 LG트윈빌2)"
679f3bf46fdce0144bf3e79a,고척햇살약국,"서울특별시 구로구 중앙로15길 29, 1층 (고척동)"
679f3bf46fdce0144bf3e79b,2층약국,"서울특별시 강남구 개포로 303, 상가동 2층 207호 (개포동, 현대1차아파트)"
679f3bf46fdce0144bf3e79c,건강플러스약국,"서울특별시 노원구 상계로1길 38, (상계동)"
679f3bf46fdce0144bf3e79d,나은약국,"서울특별시 강동구 양재대로 1620, 명일빌딩 101호 (명일동)"
