name,address,drug
건강온누리약국,서울특별시 구로구 고척로21나길 18 (개봉동),비판텐
건강온누리약국,서울특별시 동작구 상도로 202 (상도동),비판텐
건강온누리약국,서울특별시 영등포구 신풍로 113 (신길동),비판텐
건강제일온누리약국,서울특별시 중랑구 동일로 786 1층 (중화동),비판텐
건강플러스약국,"서울특별시 금천구 시흥대로 391 3층 (독산동, 홈플러스금천점)",비판텐
건강한세상대한약국,"서울특별시 영등포구 국제금융로 108 (여의도동,은하빌딩 1층)",비판텐
건강한세상행복한약국,"서울특별시 강남구 강남대로 488 1층 (논현동, 대남빌딩)",비판텐
건강한약국,서울특별시 성동구 왕십리로 320-1 1층,비판텐
건강한약국,서울특별시 성북구 동소문로42길 14 1층 (하월곡동),비판텐
건강한온누리약국,"서울특별시 강남구 압구정로34길 11 (신사동, 압구정스퀘어) 105호",비판텐
건강한온누리약국,서울특별시 강서구 가로공원로82길 41-8 1층 (화곡동),비판텐
건강한우리약국,서울특별시 양천구 지양로 22 (신월동),비판텐
건대가온약국,"서울특별시 광진구 광나루로 410 105호 (화양동, KCC파크타운)",비판텐
건대역약국,서울특별시 광진구 아차산로 218 (자양동),비판텐
건대온누리약국,"서울특별시 광진구 능동로 110 (화양동)스타시티몰 영존 지하2층 B203-1,B204",비판텐
건대지하철약국,"서울특별시 광진구 능동로 110 (화양동, 7호선 건대입구역)",비판텐
건명약국,서울특별시 중랑구 면목로 421 (면목동),비판텐
경남약국,서울특별시 양천구 목동서로 38 (목동),비판텐
경성약국,서울특별시 관악구 남부순환로161길 70 (신림동),비판텐
경애약국,서울특별시 동대문구 사가정로25길 18 (장안동),비판텐
경인약국,서울특별시 송파구 가락로42길 9 (방이동),비판텐
경인약국,서울특별시 용산구 새창로14길 50 (용문동),비판텐
경일약국,서울특별시 금천구 시흥대로72길 32 (시흥동),비판텐
경하프라자약국,서울특별시 은평구 서오릉로 157 (구산동),비판텐
경희고황약국,서울특별시 동대문구 경희대로 17 1층 (회기동),비판텐
경희궁햇살약국,"서울특별시 종로구 송월길 99 203동 2218호 (홍파동, 경희궁자이)",비판텐
경희메디칼온누리약국,서울특별시 강동구 동남로 889 (명일동) 1층 103호,비판텐
경희온누리약국,서울특별시 동대문구 경희대로1가길 32 (회기동),비판텐
계산온누리약국,서울특별시 성북구 동소문로20길 43 (동선동1가),비판텐
고려약국,서울특별시 노원구 동일로 1382 (상계동),비판텐
고명약국,"서울특별시 서초구 바우뫼로 23 101,102호 (우면동, 선일상가)",비판텐
고연뿌리약국,"서울특별시 서초구 신반포로 188 지하1층 (반포동, 강남고속터미널역)",비판텐
고운마음약국,"서울특별시 강서구 양천로 500 1층 112호 (등촌동, 노블리움오피스텔)",비판텐
고운약국,"서울특별시 송파구 송이로32길 37 201동 1층 상가04호 (문정동, 문정프르지오아파트)",비판텐
고은온누리약국,서울특별시 강동구 천호대로 1153 (길동),비판텐
고은온누리약국,서울특별시 동작구 여의대방로36길 1 (대방동),비판텐
공생약국,서울특별시 종로구 종로 228 1층 (종로5가),비판텐
공항시장샘온누리약국,"서울특별시 강서구 방화동로 37 (방화동, 메디스타워) 1층 102호",비판텐
관악소망약국,서울특별시 관악구 남부순환로 1838 2층 (봉천동),비판텐
관악수약국,"서울특별시 관악구 호암로 600 1층 (신림동, 하나빌딩)",비판텐
관악이화약국,서울특별시 관악구 봉천로 281 1층 (봉천동),비판텐
광교약국,서울특별시 종로구 청계천로 49 (관철동),비판텐
광장약국,서울특별시 종로구 창경궁로13길 1 1층 (예지동),비판텐
광제사약국,서울특별시 광진구 면목로 130 (중곡동),비판텐
광진약국,서울특별시 중구 다산로27길 6-14 (신당동),비판텐
광진온누리약국,"서울특별시 광진구 아차산로69길 8 103, 104호 (광장동)",비판텐
광진프라자약국,서울특별시 광진구 면목로 117 (중곡동),비판텐
광희약국,서울특별시 중구 퇴계로 322 (광희동2가),비판텐
교보약국,서울특별시 관악구 남부순환로 1827 1층 (봉천동),비판텐
구로시장약국,서울특별시 구로구 구로동로26길 37 (구로동),비판텐
구민약국,서울특별시 영등포구 당산로 142-1 (당산동3가),비판텐
구심당약국,"서울특별시 마포구 월드컵로25길 58 , 건물코너 (망원동)",비판텐
구온누리약국,"서울특별시 용산구 만리재로 134 1층 (서계동, 힐타워빌딩)",비판텐
구원약국,"서울특별시 마포구 큰우물로 49 1층 101호 (염리동, 엘지상가)",비판텐
구일중앙약국,"서울특별시 구로구 구일로 110 305호 (구로동, 해원리버파크)",비판텐
국기원약국,"서울특별시 강남구 테헤란로 119 2층 (역삼동, 대호빌딩)",비판텐
국제약국,"서울특별시 동대문구 답십리로 252 1층 (장안동, 세현빌딩)",비판텐
국제약국,"서울특별시 중랑구 봉화산로 194 1층 104호 (신내동, 신아타운)",비판텐
국풍당약국,"서울특별시 강남구 선릉로 654 1층 (삼성동, 예인빌딩)",비판텐
국화약국,"서울특별시 종로구 평창11길 3 1층 (평창동, 쇼핑센타뉴본)",비판텐
군자백화점약국,서울특별시 광진구 천호대로 574 (능동),비판텐
군자세계로약국,서울특별시 광진구 천호대로 548 (군자동),비판텐
군자한마음약국,"서울특별시 광진구 천호대로 557 , 1층 102호",비판텐
굿모닝약국,"서울특별시 마포구 월드컵북로 361 102호 (상암동, 디엠씨이안 상암2단지)",비판텐
굿모닝약국,"서울특별시 서초구 신반포로 176 125호 (반포동, 센트럴시티)",비판텐
굿모닝약국,"서울특별시 송파구 오금로 420 , 1층 (가락동, 한라산업개발빌딩)",비판텐
굿모닝약국,서울특별시 종로구 경교장길 35 3137호 (경희궁자이 3단지),비판텐
굿모닝이화약국,서울특별시 강서구 공항대로 383 1층 4호 (등촌동),비판텐
굿약국,"서울특별시 서초구 서초대로77길 24 103호 (서초동, 강남 지웰타워2)",비판텐
굿케어약국,서울특별시 강남구 선릉로 719 1층 일부호 (논현동),비판텐
그랜드약국,서울특별시 송파구 마천로 35 1층 (방이동),비판텐
그랜드약국,서울특별시 중랑구 사가정로 399 1층,비판텐
그린약국,서울특별시 양천구 남부순환로 654 (신정동),비판텐
금강약국,"서울특별시 강남구 압구정로 151 1-7호 (압구정동, 현대아파트9차상가)",비판텐
금강온누리약국,서울특별시 영등포구 영중로 8 (영등포동),비판텐
금보약국,"서울특별시 용산구 원효로 51 110호 (산천동, 삼성테마트상가)",비판텐
금비약국,서울특별시 강서구 양천로69길 11 1층 금비약국,비판텐
금빛약국,서울특별시 도봉구 덕릉로 238 1층 (창동),비판텐
금성약국,"서울특별시 광진구 자양로 112 111호,112호,113호 (구의동)",비판텐
금와약국,서울특별시 광진구 뚝섬로 585 (자양동),비판텐
금호프라자약국,서울특별시 성동구 독서당로 302 1층 (금호동4가),비판텐
금화온누리약국,"서울특별시 서초구 반포대로 287 125호 (반포동, 래미안퍼스티지중심상가)",비판텐
기린약국,서울특별시 서대문구 통일로 468 1층 (홍제동),비판텐
기린약국,"서울특별시 은평구 서오릉로 79, 1층 (역촌동)",비판텐
기림약국,서울특별시 영등포구 대림로34길 29 (대림동),비판텐
기분좋은약국,"서울특별시 관악구 은천로 110 1층 (봉천동, 더블유에스타워)",비판텐
기쁨약국,"서울특별시 마포구 월드컵로 82 1층 (서교동, 소단빌딩)",비판텐
길동수약국,서울특별시 강동구 천호대로 1123 (길동),비판텐
길음메디칼약국,서울특별시 성북구 길음로 2 1층 (길음동),비판텐
길음시장약국,"서울특별시 성북구 길음로9길 50 ,상가동 지1층 101호",비판텐
김&장나라약국,서울특별시 광진구 능동로 110 (화양동),비판텐
김약국,서울특별시 관악구 남부순환로 1601-1 1층 (신림동),비판텐
김약국,서울특별시 양천구 지양로 75 (신월동),비판텐
김포약국,서울특별시 강서구 방화동로 70 (방화동),비판텐
김해약국,서울특별시 종로구 종로 206 (종로5가),비판텐
까치프라자약국,"서울특별시 강서구 강서로 52 104,105호 (화곡동, 화곡판타지아빌딩)",비판텐
나나약국,서울특별시 동대문구 장한로18길 59 (장안동),비판텐
나눔약국,서울특별시 영등포구 여의대방로53길 23 (신길동),비판텐
나래약국,"서울특별시 영등포구 도림로 192 (대림동, 동성빌딩)",비판텐
나무약국,서울특별시 강서구 강서로45길 174 수명산씨티 3층 (내발산동),비판텐
나무약국,"서울특별시 마포구 백범로 202 101호 (신공덕동, 마포KCC웰츠타워)",비판텐
나무약국,"서울특별시 성동구 금호로 94 201호(금호동 1가, 금호오피스텔 제2층)",비판텐
나진약국,"서울특별시 도봉구 방학로 223 101호 (방학동, 사천목씨종친회관)",비판텐
낙성대약국,"서울특별시 관악구 남부순환로 1938 1층 (봉천동, 성은빌딩)",비판텐
난곡비타민약국,서울특별시 관악구 난곡로 231 (신림동) 102호,비판텐
남대문약국,서울특별시 은평구 통일로87길 19 1층 (갈현동),비판텐
남매약국,서울특별시 송파구 오금로64길 4 (거여동),비판텐
남문프라자약국,서울특별시 금천구 시흥대로 436 (독산동),비판텐
남부시장약국,서울특별시 강서구 등촌로5길 80 (화곡동),비판텐
남산우리약국,"서울특별시 중구 소공로 35 102호(회현동1가,남산롯데캐슬아이리스1층상가)",비판텐
남시약국,서울특별시 중구 남대문로 18 (남대문로3가),비판텐
노들약국,서울특별시 동작구 노량진로 166 1층,비판텐
노바약국,서울특별시 강남구 강남대로118길 51 1층 (논현동),비판텐
노벨온누리약국,"서울특별시 은평구 연서로 1 105호 (역촌동, 리더스파크)",비판텐
노원약국,"서울특별시 노원구 노해로 501 1층 103호 (상계동, 노원빌딩)",비판텐
녹번건강약국,서울특별시 은평구 통일로 630-1 상가 B101-1호,비판텐
녹색건강약국,서울특별시 중랑구 면목로55길 25 (면목동),비판텐
녹수프라자약국,서울특별시 금천구 독산로 213 (독산동),비판텐
녹십자약국,"서울특별시 강북구 도봉로 255 1층 (수유동, 나라빌딩)",비판텐
녹십자약국,서울특별시 금천구 시흥대로 96 (시흥동),비판텐
녹십자약국,서울특별시 도봉구 우이천로4길 32 1층 (창동),비판텐
녹십자약국,서울특별시 서초구 방배로25길 4 1층 (방배동),비판텐
녹십자약국,서울특별시 송파구 올림픽로 130 (잠실동),비판텐
녹십자약국,서울특별시 영등포구 대림로 157 (대림동),비판텐
녹원약국,서울특별시 송파구 백제고분로50길 26 1층 (방이동),비판텐
